policy_id,model_id,phase,aggregation,smoothing,reliability_alpha,tau_up,tau_down,k_up,k_down,cooldown_s,tp,normal_false_events,fn,wrong_window_accident_alerts,duplicate_accident_alerts,precision,recall,f1,fph,mean_signed_delay_s,threshold,persistence_window_s,required_active_observations,merge_gap_s,feasible_under_fph5,selected_calibration_policy,pareto_frontier,dominated,selection_rule,fixed_policy_validation_tp,fixed_policy_validation_normal_fp,fixed_policy_validation_fn,fixed_policy_validation_recall,fixed_policy_validation_precision,fixed_policy_validation_f1,fixed_policy_validation_fph
3d82c8db0dbf058b4099,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.1,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
7726439f92bba0023408,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.15,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
78fb07e2e148622455ba,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.2,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
4af9e1e22375517a3f52,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.25,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
2621631fdd5e0e36ecdc,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.3,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
73f284dda6fed3f8c599,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.35,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
e5dc9170c15c78fa5482,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.4,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
e47012505f35cb0ac0dc,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.45,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
eb169c234b7d9e98c9aa,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.5,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
93d97e725fd012e9be42,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.05,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
955ad5249a2fcb13dfbc,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.1,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
2b085d048f45752db923,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.15,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
fa61768c0af9e7c3e310,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.2,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
39a8e676bd653d7a025f,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.25,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
10dec53c011e584b14e7,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.3,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
cea540ee49ec89609b05,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.35,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
a32ea9981c0c4aea8403,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.4,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
45488f8413569e611326,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.45,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
819ce3962a25d7b9f452,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.7,0.5,2,3,2.0,9,3,38,5,0,0.5294117647058824,0.1914893617021276,0.28125,1.831017435354915,-0.6400000000000001,0.7,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
66538a91cd1d7d05126b,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.05,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
93d8993b0385011ba38a,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.1,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
d959a21b12d29232f6dc,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.15,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
3f276d96ff1a49985d6e,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.2,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
38dae2c485fcecfd7165,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.25,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
a22796a7f61aa07b9082,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.3,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
2f046edbc70c01776212,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.35,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
4a01f2561322bc328fd6,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.4,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
852b3041e4e181be09f2,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.45,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
8471a65035d424aeef19,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.75,0.5,2,3,2.0,6,0,41,2,0,0.75,0.1276595744680851,0.2181818181818182,0.0,-0.4333333333333333,0.75,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
e9458d20a1060df8deb9,causal14_clean,reliability_sensitivity,trimmed_mean,trailing60,0.3,0.6,0.05,2,3,2.0,13,5,34,10,0,0.4642857142857143,0.2765957446808511,0.3466666666666667,3.0516957255915247,-0.6799999999999999,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
